Overall Rank,Position Rank,Position,Name,Team,CSR Points,Points
372,153,WR,Kain Colter,MIN,-12.74,0
381,154,WR,Matt Slater,NEP,-12.74,0
382,155,WR,Marcus Harris,NYG,-12.74,0
383,156,WR,Victor Cruz,NYG,-12.74,0
394,157,WR,Marc Mariani,CHI,-12.74,0
393,158,WR,Arrelious Benn,JAC,-12.74,0
392,159,WR,Jordan Norwood,DEN,-12.74,0
391,160,WR,Brian Hartline,CLE,-12.74,0
390,161,WR,Rashad Greene,JAC,-12.74,0
395,162,WR,Clyde Gates,NYJ,-12.74,0
388,163,WR,James Wright,CIN,-12.74,0
389,164,WR,Brian Tyms,NEP,-12.74,0
