Rank,Pos,ID,Name,Team,Opp,Comp,Yards,TD,Int,Att,Yards,TD,Rec,Yards,TD,Fantasy Points
56,WR,8776,"Jones, James",GBP,DET,0,0,0,0,0,0,0,2.95,48,0.56,11
57,WR,11972,"Brown, Corey",CAR,TEN,0,0,0,0,0.83,5,0,2.9,42,0.51,11
58,QB,11150,"Smith, Geno",NYJ,BUF,11.17,117,0.56,0.53,2.44,15,0.01,0,0,0,10
59,RB,9278,"Forsett, Justin",BAL,JAC,0,0,0,0,17.74,82,0.36,3.38,19,0.04,10
60,QB,8042,"Cassel, Matt",DAL,TBB,11.9,132,0.78,0.63,1.09,6,0,0,0,0,10
61,RB,12156,"Langford, Jeremy",CHI,STL,0,0,0,0,19.5,61,0.41,4.5,36,0.12,10
62,TE,11250,"Eifert, Tyler",CIN,HOU,0,0,0,0,0,0,0,3.88,42,0.83,10
63,RB,10709,"Martin, Doug",TBB,DAL,0,0,0,0,18.16,78,0.32,2.18,17,0.08,10
64,RB,8658,"Peterson, Adrian",MIN,OAK,0,0,0,0,18.35,80,0.46,1.98,12,0.01,9
65,WR,11671,"Evans, Mike",TBB,DAL,0,0,0,0,0,0,0,4.64,75,0.39,8
66,RB,9087,"McFadden, Darren",DAL,TBB,0,0,0,0,14.48,59,0.39,3.07,22,0,8
67,RB,12150,"Gurley, Todd",STL,CHI,0,0,0,0,11.77,63,0.39,1.88,15,0.01,8
68,RB,11901,"Andrews, Antonio",TEN,CAR,0,0,0,0,12.25,53,0.34,2.57,23,0.13,8
69,WR,9831,"Tate, Golden",DET,GBP,0,0,0,0,0.3,2,0,5.79,66,0.21,7
70,WR,9436,"Maclin, Jeremy",KCC,DEN,0,0,0,0,0.15,0,0,5.17,70,0.34,7
71,RB,9448,"McCoy, LeSean",BUF,NYJ,0,0,0,0,11.8,51,0.25,1.81,15,0.1,7
72,RB,11390,"Murray, Latavius",OAK,MIN,0,0,0,0,11.98,57,0.26,2.01,12,0,7
73,WR,9918,"Sanders, Emmanuel",DEN,KCC,0,0,0,0,0.21,1,0,5.26,72,0.44,7
74,WR,11674,"Cooks, Brandin",NOS,WAS,0,0,0,0,0.38,1,0.01,5.33,69,0.46,7
75,RB,8670,"Lynch, Marshawn",SEA,ARI,0,0,0,0,12.66,56,0.43,1.27,11,0.06,7
76,RB,9078,"Johnson, Chris",ARI,SEA,0,0,0,0,13.72,65,0.26,0.89,8,0.02,7
77,WR,11680,"Landry, Jarvis",MIA,PHI,0,0,0,0,1.2,7,0.08,6.68,66,0.37,7
78,WR,8657,"Johnson, Calvin",DET,GBP,0,0,0,0,0,0,0,4.71,72,0.38,7
