Rank,Pos,ID,Name,Team,Opp,Comp,Yards,TD,Int,Att,Yards,TD,Rec,Yards,TD,Fantasy Points
250,TE,11337,"Fells, Darren",ARI,SEA,0,0,0,0,0.01,0,0,0.99,14,0.17,1
251,RB,11886,"Williams, Damien",MIA,PHI,0,0,0,0,1.48,6,0,0.78,5,0.06,1
252,TE,11249,"Sims, Dion",MIA,PHI,0,0,0,0,0,0,0,1.32,14,0.1,1
253,TE,11529,"Hill, Josh",NOS,WAS,0,0,0,0,0,0,0,1.1,11,0.24,1
254,WR,11225,"Patterson, Cordarrelle",MIN,OAK,0,0,0,0,0.23,1,0,0.93,11,0.04,1
255,RB,11342,"Whittaker, Fozzy",CAR,TEN,0,0,0,0,1.54,7,0,0.54,5,0.03,1
256,RB,11977,"Darkwa, Orleans",NYG,NEP,0,0,0,0,2.65,11,0.02,0.05,0,0,1
257,TE,11698,"Fiedorowicz, C.J.",HOU,CIN,0,0,0,0,0,0,0,0.75,7,0.09,1
258,WR,11214,"Dobson, Aaron",NEP,NYG,0,0,0,0,0,0,0,1.1,12,0,1
259,WR,11220,"Fuller, Corey",DET,GBP,0,0,0,0,0,0,0,0.6,12,0.02,1
260,RB,11652,"Carey, Ka'Deem",CHI,STL,0,0,0,0,2.86,11,0.08,0.24,3,0,1
261,TE,10432,"Green, Virgil",DEN,KCC,0,0,0,0,0.05,0,0,0.42,6,0.06,1
262,TE,12328,"Boyle, Nick",BAL,JAC,0,0,0,0,0,0,0,0.4,5,0,1
263,WR,12319,"Nelson, J.J.",ARI,SEA,0,0,0,0,0.04,0,0,0.5,6,0,1
264,QB,9818,"Clausen, Jimmy",CHI,STL,3.02,28,0,0.26,0.52,0,0,0,0,0,1
265,TE,9632,"Myers, Brandon",TBB,DAL,0,0,0,0,0,0,0,1.19,12,0,1
266,WR,9524,"Tate, Brandon",CIN,HOU,0,0,0,0,0.03,0,0,0.41,8,0.09,1
267,TE,9444,"Pettigrew, Brandon",DET,GBP,0,0,0,0,0,0,0,0.99,11,0,1
268,WR,9452,"Heyward-Bey, Darrius",PIT,CLE,0,0,0,0,0,0,0,1.04,12,0.11,1
269,TE,9912,"Dickson, Ed",CAR,TEN,0,0,0,0,0,0,0,0.83,9,0.01,1
270,RB,11199,"Ware, Spencer",KCC,DEN,0,0,0,0,1.33,4,0.12,0.4,3,0,1
271,WR,12261,"Montgomery, Ty",GBP,DET,0,0,0,0,0.3,1,0,1.44,13,0.19,1
272,WR,12257,"Conley, Chris",KCC,DEN,0,0,0,0,0.06,0,0,1.28,14,0.02,1
273,TE,10015,"Dray, Jim",CLE,PIT,0,0,0,0,0.03,0,0,0.85,10,0.02,1
274,RB,9975,"Dixon, Anthony",BUF,NYJ,0,0,0,0,3.36,9,0.09,0.39,3,0,1
275,TE,9941,"Harbor, Clay",JAC,BAL,0,0,0,0,0,0,0,1.16,12,0.07,1
276,WR,9931,"Easley, Marcus",BUF,NYJ,0,0,0,0,0.04,0,0,0.27,5,0.02,1
277,TE,12309,"Pruitt, MyCole",MIN,OAK,0,0,0,0,0,0,0,0.65,6,0,1
278,TE,9145,"Stevens, Craig",TEN,CAR,0,0,0,0,0,0,0,0.68,9,0,1
279,WR,12439,"Whitehead, Lucky",DAL,TBB,0,0,0,0,0.74,4,0,0.54,5,0,1
280,WR,7653,"Welker, Wes",STL,CHI,0,0,0,0,0,0,0,1,8,0.05,1
281,TE,8269,"Lewis, Marcedes",JAC,BAL,0,0,0,0,0,0,0,1.23,12,0.05,1
282,QB,8322,"Whitehurst, Charlie",IND,,1.22,15,0.1,0.08,0.34,1,0,0,0,0,1
283,WR,12505,"Humphries, Adam",TBB,DAL,0,0,0,0,0,0,0,0.58,5,0,1
284,TE,12532,"Tye, Will",NYG,NEP,0,0,0,0,0,0,0,1.35,12,0.02,1
285,QB,4891,"Vick, Michael",PIT,CLE,1.46,14,0.07,0.03,0.52,2,0,0,0,0,1
286,WR,12541,"Dye, Donteea",TBB,DAL,0,0,0,0,0.05,0,0,1.15,11,0.08,1
287,WR,8350,"Avant, Jason",KCC,DEN,0,0,0,0,0,0,0,1.09,12,0,1
288,WR,12465,"Meredith, Cameron",CHI,STL,0,0,0,0,0,0,0,0.8,10,0,1
289,WR,9050,"Caldwell, Andre",DEN,KCC,0,0,0,0,0,0,0,0.58,6,0,1
290,RB,12440,"Harris, Alonzo",GBP,DET,0,0,0,0,0.89,3,0.01,0.23,2,0,1
291,QB,8944,"Moore, Matt",MIA,PHI,0.7,11,0,0.2,0.71,0,0,0,0,0,1
292,RB,12447,"Mostert, Raheem",BAL,JAC,0,0,0,0,2.14,10,0,0.52,4,0,1
293,RB,8590,"Kuhn, John",GBP,DET,0,0,0,0,0.51,1,0.17,0.57,5,0,1
294,QB,8712,"Stanton, Drew",ARI,SEA,1.87,25,0.12,0.12,2.04,0,0,0,0,0,1
295,TE,12210,"Walford, Clive",OAK,MIN,0,0,0,0,0,0,0,0.85,9,0.21,1
296,WR,9921,"Roberts, Andre",WAS,NOS,0,0,0,0,0,0,0,1.12,14,0,1
297,WR,12176,"Parker, DeVante",MIA,PHI,0,0,0,0,0,0,0,0.51,8,0.04,1
298,WR,11104,"Bellamy, Josh",CHI,STL,0,0,0,0,0.02,0,0,0.67,6,0.02,1
299,RB,10710,"Polk, Chris",HOU,CIN,0,0,0,0,3.29,10,0.06,0.58,3,0.01,1
300,QB,11001,"Davis, Austin",CLE,PIT,2.38,25,0.01,0.16,0.06,0,0,0,0,0,1
301,QB,10696,"Griffin III, Robert",WAS,NOS,1.16,15,0.03,0.03,0.22,1,0.01,0,0,0,1
302,TE,10398,"Smith, Lee",OAK,MIN,0,0,0,0,0,0,0,0.97,5,0.01,1
303,WR,10955,"Streater, Rod",OAK,MIN,0,0,0,0,0,0,0,1.12,9,0.1,1
304,RB,10932,"Bolden, Brandon",NEP,NYG,0,0,0,0,1.73,6,0.04,0.57,5,0.12,1
305,RB,10334,"Ridley, Stevan",NYJ,BUF,0,0,0,0,1.69,4,0,0.39,3,0,1
306,RB,10881,"Herron, Dan",BUF,NYJ,0,0,0,0,1.61,5,0.04,0.51,2,0,1
307,RB,10713,"Pierce, Bernard",JAC,BAL,0,0,0,0,2.38,9,0.05,0.43,2,0,1
308,TE,10139,"Cumberland, Jeff",NYJ,BUF,0,0,0,0,0,0,0,1,13,0.09,1
309,WR,10835,"Martin, Keshawn",NEP,NYG,0,0,0,0,0,0,0,0.38,6,0.02,1
310,TE,10838,"Ellison, Rhett",MIN,OAK,0,0,0,0,0,0,0,0.96,8,0.01,1
311,WR,11752,"Matthews, Chris",SEA,ARI,0,0,0,0,0.01,0,0,0.57,7,0.01,1
312,RB,11176,"Taylor, Stepfan",ARI,SEA,0,0,0,0,1.72,6,0.01,0.18,1,0.03,1
313,RB,11182,"Burkhead, Rex",CIN,HOU,0,0,0,0,0.56,2,0.04,0.78,9,0,1
314,QB,10702,"Osweiler, Brock",DEN,KCC,1.12,12,0.11,0,1.07,0,0,0,0,0,1
315,TE,12433,"Parker, Brian",KCC,DEN,0,0,0,0,0,0,0,0,0,0,0
316,WR,12374,"Alford, Mario",CIN,HOU,0,0,0,0,0,0,0,0,0,0,0
317,WR,12177,"White, Kevin",CHI,STL,0,0,0,0,0,0,0,0,0,0,0
318,QB,12381,"Siemian, Trevor",DEN,KCC,0,0,0,0,0,0,0,0,0,0,0
319,TE,12385,"Christian, Gerald",ARI,SEA,0,0,0,0,0,0,0,0,0,0,0
320,RB,11809,"Taliaferro, Lorenzo",BAL,JAC,0,0,0,0,0,0,0,0,0,0,0
321,RB,12402,"Grant, Corey",JAC,BAL,0,0,0,0,0,0,0,0,0,0,0
322,TE,12116,"Denham, Anthony",HOU,CIN,0,0,0,0,0,0,0,0,0,0,0
323,RB,12458,"Wegher, Brandon",CAR,TEN,0,0,0,0,0,0,0,0,0,0,0
324,QB,11760,"Garoppolo, Jimmy",NEP,NYG,0.84,8,0.01,0,1.1,0,0,0,0,0,0
325,WR,11758,"Latimer, Cody",DEN,KCC,0,0,0,0,0,0,0,0.25,2,0,0
326,QB,12146,"Grayson, Garrett",NOS,WAS,0,0,0,0,0,0,0,0,0,0,0
327,QB,12145,"Mannion, Sean",STL,CHI,0,0,0,0,0,0,0,0,0,0,0
328,TE,12479,"Lee, Khari",CHI,STL,0,0,0,0,0,0,0,0,0,0,0
329,QB,12476,"Heinicke, Taylor",MIN,OAK,0,0,0,0,0,0,0,0,0,0,0
330,QB,12142,"Hundley, Brett",GBP,DET,0,0,0,0,0,0,0,0,0,0,0
331,QB,12144,"Petty, Bryce",NYJ,BUF,0.57,4,0,0.22,0.25,1,0,0,0,0,0
332,RB,12158,"Cobb, David",TEN,CAR,0,0,0,0,0.5,1,0,0.04,1,0,0
333,WR,12475,"Marquez, Bradley",STL,CHI,0,0,0,0,0.02,0,0,0.26,1,0,0
334,WR,11798,"Norwood, Kevin",CAR,TEN,0,0,0,0,0.02,0,0,0.23,3,0,0
335,WR,12363,"Sterling, Neal",JAC,BAL,0,0,0,0,0,0,0,0,0,0,0
336,RB,12264,"Zenner, Zach",DET,GBP,0,0,0,0,0,0,0,0,0,0,0
337,WR,12263,"Waller, Darren",BAL,JAC,0,0,0,0,0,0,0,0,0,0,0
338,WR,12183,"Greene, Rashad",JAC,BAL,0,0,0,0,0,0,0,0,0,0,0
339,TE,11981,"Helfet, Cooper",SEA,ARI,0,0,0,0,0,0,0,0.29,4,0.03,0
340,WR,12182,"Smith, Devin",NYJ,BUF,0,0,0,0,0,0,0,0.45,3,0,0
341,TE,11628,"Supernaw, Phillip",TEN,CAR,0,0,0,0,0,0,0,0.01,0,0,0
342,RB,11982,"Watts, Trey",STL,CHI,0,0,0,0,0,0,0,0,0,0,0
343,WR,12195,"Bell, Kenny",TBB,DAL,0,0,0,0,0,0,0,0,0,0,0
344,WR,12197,"Perriman, Breshad",BAL,JAC,0,0,0,0,0,0,0,0,0,0,0
345,TE,12211,"James, Jesse",PIT,CLE,0,0,0,0,0,0,0,0.2,1,0.02,0
346,TE,12208,"Heuerman, Jeff",DEN,KCC,0,0,0,0,0,0,0,0,0,0,0
347,TE,12212,"Kroft, Tyler",CIN,HOU,0,0,0,0,0,0,0,0.09,1,0,0
348,RB,11964,"Perry, Senorise",CHI,STL,0,0,0,0,0,0,0,0,0,0,0
349,RB,11963,"Winn, George",DET,GBP,0,0,0,0,0.35,1,0,0.05,0,0,0
350,TE,12214,"Bibbs, E.J.",CLE,PIT,0,0,0,0,0,0,0,0.14,1,0,0
351,RB,11911,"Cobb, Terrance",OAK,MIN,0,0,0,0,0.22,0,0,0,0,0,0
352,TE,12317,"Uzomah, C.J.",CIN,HOU,0,0,0,0,0,0,0,0,0,0,0
353,RB,12353,"Ripkowski, Aaron",GBP,DET,0,0,0,0,0,0,0,0.1,2,0,0
354,WR,12338,"Davis, Geremy",NYG,NEP,0,0,0,0,0.05,0,0,0.39,3,0,0
355,WR,11850,"Enunwa, Quincy",NYJ,BUF,0,0,0,0,0,0,0,0,0,0,0
356,TE,12359,"Backman, Kennard",GBP,DET,0,0,0,0,0,0,0,0.44,4,0,0
357,WR,11839,"Hazel, Matt",MIA,PHI,0,0,0,0,0,0,0,0,0,0,0
358,RB,11979,"Winston, Glenn",CLE,PIT,0,0,0,0,1.59,4,0,0.19,0,0,0
359,WR,11857,"Campanaro, Michael",BAL,JAC,0,0,0,0,0,0,0,0,0,0,0
360,WR,11870,"Janis, Jeff",GBP,DET,0,0,0,0,0,0,0,0.18,4,0,0
361,QB,11897,"Shaw, Connor",CLE,PIT,0,0,0,0,0,0,0,0,0,0,0
362,WR,11902,"Washington, L'Damian",PIT,CLE,0,0,0,0,0,0,0,0,0,0,0
363,WR,12179,"Strong, Jaelen",HOU,CIN,0,0,0,0,0,0,0,0.13,3,0.1,0
364,WR,12178,"Coates, Sammie",PIT,CLE,0,0,0,0,0,0,0,0.04,0,0,0
365,WR,11874,"Wright, James",CIN,HOU,0,0,0,0,0,0,0,0,0,0,0
366,TE,12330,"O'Shaughnessy, James",KCC,DEN,0,0,0,0,0,0,0,0,0,0,0
367,TE,12046,"Jacobs, Nic",JAC,BAL,0,0,0,0,0,0,0,0.15,1,0.05,0
368,TE,11089,"Harkey, Cory",STL,CHI,0,0,0,0,0,0,0,0.41,3,0.01,0
369,WR,10088,"Moore, Marlon",CLE,PIT,0,0,0,0,0,0,0,0,0,0,0
370,WR,10072,"Nelson, David",PIT,CLE,0,0,0,0,0,0,0,0,0,0,0
371,RB,10110,"Young, Darrel",WAS,NOS,0,0,0,0,0.52,1,0.08,0.45,3,0.06,0
372,TE,10123,"Paulsen, Logan",WAS,NOS,0,0,0,0,0,0,0,0,0,0,0
373,RB,10300,"Rodgers, Jacquizz",CHI,STL,0,0,0,0,0,0,0,0,0,0,0
374,RB,10241,"Tukuafu, Will",SEA,ARI,0,0,0,0,0.07,0,0,0.01,0,0,0
375,RB,10067,"Smith, Antone",CHI,STL,0,0,0,0,0.4,2,0,0,0,0,0
376,WR,10009,"Mariani, Marc",CHI,STL,0,0,0,0,0,0,0,0.07,1,0,0
377,TE,9933,"Pitta, Dennis",BAL,JAC,0,0,0,0,0,0,0,0,0,0,0
378,WR,9859,"Benn, Arrelious",JAC,BAL,0,0,0,0,0,0,0,0,0,0,0
379,TE,9946,"Hoomanawanui, Michael",NOS,WAS,0,0,0,0,0,0,0,0.73,4,0.22,0
380,TE,9960,"Quarless, Andrew",GBP,DET,0,0,0,0,0,0,0,0,0,0,0
381,QB,9992,"Webb, Joe",CAR,TEN,0,0,0,0,0,0,0,0,0,0,0
382,TE,10333,"Housler, Robert",CLE,PIT,0,0,0,0,0,0,0,0,0,0,0
383,TE,10354,"Stocker, Luke",TBB,DAL,0,0,0,0,0,0,0,0.42,3,0,0
384,QB,10498,"Tolzien, Scott",GBP,DET,0.26,2,0,0.03,0.41,0,0,0,0,0,0
385,WR,10496,"Lockette, Ricardo",SEA,ARI,0,0,0,0,0,0,0,0,0,0,0
386,QB,10704,"Harnish, Chandler",IND,,0,0,0,0,0,0,0,0,0,0,0
387,RB,10718,"Pead, Isaiah",PIT,CLE,0,0,0,0,0.26,1,0,0.09,0,0,0
388,WR,10719,"Blackmon, Justin",JAC,BAL,0,0,0,0,0,0,0,0,0,0,0
389,TE,10414,"Gordon, Richard",DEN,KCC,0,0,0,0,0,0,0,0.19,2,0,0
390,TE,10394,"Paul, Niles",WAS,NOS,0,0,0,0,0,0,0,0,0,0,0
391,RB,10369,"Powell, Bilal",NYJ,BUF,0,0,0,0,0,0,0,0,0,0,0
392,WR,10359,"Gates, Clyde",NYJ,BUF,0,0,0,0,0,0,0,0,0,0,0
393,RB,10378,"Sherman, Anthony",KCC,DEN,0,0,0,0,0.11,0,0,0.35,3,0.01,0
394,WR,10388,"Moore, Denarius",BUF,NYJ,0,0,0,0,0,0,0,0.13,2,0.03,0
395,RB,10389,"Lewis, Dion",NEP,NYG,0,0,0,0,0,0,0,0,0,0,0
396,TE,9719,"Mulligan, Matthew",BUF,NYJ,0,0,0,0,0,0,0,0.26,2,0,0
397,WR,9718,"Ajirotutu, Seyi",PHI,MIA,0,0,0,0,0,0,0,0.11,1,0,0
398,TE,8532,"Fells, Daniel",NYG,NEP,0,0,0,0,0,0,0,0,0,0,0
399,QB,8435,"Gradkowski, Bruce",PIT,CLE,0,0,0,0,0,0,0,0,0,0,0
400,TE,8736,"Spaeth, Matt",PIT,CLE,0,0,0,0,0,0,0,0,0,0,0
401,WR,8772,"Jones, Jacoby",PIT,CLE,0,0,0,0,0.07,0,0,0.12,2,0,0
402,RB,9054,"Charles, Jamaal",KCC,DEN,0,0,0,0,0,0,0,0,0,0,0
403,QB,8305,"Jackson, Tarvaris",SEA,ARI,0.21,0,0,0,0,0,0,0,0,0,0
404,QB,8025,"Anderson, Derek",CAR,TEN,0.27,3,0.05,0,0.15,0,0,0,0,0,0
405,QB,7260,"Romo, Tony",DAL,TBB,0,0,0,0,0,0,0,0,0,0,0
406,WR,4974,"Smith, Steve",BAL,JAC,0,0,0,0,0,0,0,0,0,0,0
407,QB,7480,"Schaub, Matt",BAL,JAC,0.44,5,0,0.08,0.11,0,0,0,0,0,0
408,QB,7496,"McCown, Luke",NOS,WAS,0,0,0,0,0,0,0,0,0,0,0
409,WR,7873,"Jackson, Vincent",TBB,DAL,0,0,0,0,0,0,0,0,0,0,0
410,WR,9118,"Nelson, Jordy",GBP,DET,0,0,0,0,0,0,0,0,0,0,0
411,WR,9120,"Royal, Eddie",CHI,STL,0,0,0,0,0,0,0,0,0,0,0
412,RB,9616,"Peerman, Cedric",CIN,HOU,0,0,0,0,0.29,0,0,0.18,2,0,0
413,TE,9611,"Miller, Zach",CHI,STL,0,0,0,0,0,0,0,0.36,4,0.08,0
414,WR,9625,"Gibson, Brandon",NEP,NYG,0,0,0,0,0,0,0,0,0,0,0
415,RB,9690,"Foster, Arian",HOU,CIN,0,0,0,0,0,0,0,0,0,0,0
416,QB,9706,"Daniel, Chase",KCC,DEN,0.51,2,0,0.09,0.46,0,0,0,0,0,0
417,WR,9560,"Murphy, Louis",TBB,DAL,0,0,0,0,0,0,0,0,0,0,0
418,WR,9441,"Harvin, Percy",BUF,NYJ,0,0,0,0,0,0,0,0,0,0,0
419,WR,9200,"Slater, Matt",NEP,NYG,0,0,0,0,0,0,0,0,0,0,0
420,RB,9122,"Forte, Matt",CHI,STL,0,0,0,0,0,0,0,0,0,0,0
421,TE,9205,"Davis, Kellen",NYJ,BUF,0,0,0,0,0,0,0,0.3,2,0.08,0
422,QB,9207,"Johnson, Josh",BUF,NYJ,0,0,0,0,0,0,0,0,0,0,0
423,QB,9254,"Flynn, Matt",NOS,WAS,0.29,3,0,0.04,0.35,0,0,0,0,0,0
424,WR,10720,"Wright, Kendall",TEN,CAR,0,0,0,0,0,0,0,0,0,0,0
425,WR,10741,"Owusu, Chris",NYJ,BUF,0,0,0,0,0,0,0,0,0,0,0
426,RB,11524,"Coleman, Derrick",SEA,ARI,0,0,0,0,0,0,0,0,0,0,0
427,TE,11521,"Donnell, Larry",NYG,NEP,0,0,0,0,0,0,0,0,0,0,0
428,TE,11526,"Wright, Tim",DET,GBP,0,0,0,0,0,0,0,0,0,0,0
429,RB,11540,"Reynolds, Chase",STL,CHI,0,0,0,0,0,0,0,0,0,0,0
430,WR,11581,"White, Myles",NYG,NEP,0,0,0,0,0,0,0,0.09,1,0,0
431,WR,11582,"Dawson, Skye",TBB,DAL,0,0,0,0,0.12,0,0,0,0,0,0
432,RB,11474,"Line, Zach",MIN,OAK,0,0,0,0,0.34,0,0.17,0.15,3,0,0
433,RB,11466,"Robinson, Khiry",NOS,WAS,0,0,0,0,0,0,0,0,0,0,0
434,RB,11435,"Hill, Michael",DAL,TBB,0,0,0,0,0,0,0,0,0,0,0
435,TE,11434,"Gray, MarQueis",BUF,NYJ,0,0,0,0,0,0,0,0,0,0,0
436,QB,11441,"Griffin, Ryan",TBB,DAL,0,0,0,0,0,0,0,0,0,0,0
437,TE,10564,"Reisner, Allen",JAC,BAL,0,0,0,0,0,0,0,0.09,1,0,0
438,WR,10080,"Cruz, Victor",NYG,NEP,0,0,0,0,0,0,0,0,0,0,0
439,WR,11570,"Golden, Brittan",ARI,SEA,0,0,0,0,0,0,0,0.11,2,0,0
440,WR,11584,"Tyms, Brian",NEP,NYG,0,0,0,0,0,0,0,0,0,0,0
441,WR,11687,"Street, Devin",DAL,TBB,0,0,0,0,0.11,1,0,0.16,3,0.03,0
442,WR,11686,"Jones, T.J.",DET,GBP,0,0,0,0,0.16,0,0,0.17,2,0,0
443,TE,11696,"Amaro, Jace",NYJ,BUF,0,0,0,0,0,0,0,0,0,0,0
444,TE,11703,"Niklas, Troy",ARI,SEA,0,0,0,0,0,0,0,0.4,4,0.2,0
445,TE,11705,"Burton, Trey",PHI,MIA,0,0,0,0,0,0,0,0,0,0,0
446,WR,11681,"Richardson, Paul",SEA,ARI,0,0,0,0,0,0,0,0,0,0,0
447,WR,11673,"Benjamin, Kelvin",CAR,TEN,0,0,0,0,0,0,0,0,0,0,0
448,QB,11648,"Murray, Aaron",KCC,DEN,0,0,0,0,0,0,0,0,0,0,0
449,QB,11643,"McCarron, A.J.",CIN,HOU,0,0,0,0,0.98,0,0,0,0,0,0
450,QB,11649,"Savage, Tom",HOU,CIN,0,0,0,0,0,0,0,0,0,0,0
451,RB,11661,"Gaffney, Tyler",NEP,NYG,0,0,0,0,0,0,0,0,0,0,0
452,RB,11665,"Redd, Silas",WAS,NOS,0,0,0,0,0,0,0,0,0,0,0
453,RB,11431,"Tucker, Matthew",PHI,MIA,0,0,0,0,0,0,0,0,0,0,0
454,TE,11429,"Cunningham, Justice",STL,CHI,0,0,0,0,0,0,0,0.09,1,0,0
455,QB,11155,"Nassib, Ryan",NYG,NEP,0.43,6,0,0,0.38,0,0,0,0,0,0
456,QB,11151,"Barkley, Matt",ARI,SEA,0,0,0,0,0.01,0,0,0,0,0,0
457,QB,11170,"Bray, Tyler",KCC,DEN,0,0,0,0,0,0,0,0,0,0,0
458,RB,11177,"Barner, Kenjon",PHI,MIA,0,0,0,0,0,0,0,0,0,0,0
459,RB,11192,"Bell, Le'Veon",PIT,CLE,0,0,0,0,0,0,0,0,0,0,0
460,TE,11004,"Jones, Dominique",KCC,DEN,0,0,0,0,0,0,0,0.15,2,0,0
461,QB,11002,"Bethel-Thompson, McLeod",SFO,,0,0,0,0,0,0,0,0,0,0,0
462,TE,10877,"Hanna, James",DAL,TBB,0,0,0,0,0,0,0,0.53,4,0,0
463,WR,10813,"Graham, T.J.",NOS,WAS,0,0,0,0,0,0,0,0,0,0,0
464,QB,10935,"Tanney, Alex",CLE,PIT,0,0,0,0,0,0,0,0,0,0,0
465,WR,10960,"Gordon, Josh",CLE,PIT,0,0,0,0,0,0,0,0,0,0,0
466,RB,10961,"Dunbar, Lance",DAL,TBB,0,0,0,0,0,0,0,0,0,0,0
467,RB,11202,"Wood, Cierre",BUF,NYJ,0,0,0,0,0,0,0,0,0,0,0
468,WR,11223,"Bailey, Stedman",STL,CHI,0,0,0,0,0,0,0,0,0,0,0
469,TE,11259,"Sudfeld, Zach",NYJ,BUF,0,0,0,0,0,0,0,0,0,0,0
470,TE,11256,"Gragg, Chris",BUF,NYJ,0,0,0,0,0,0,0,0.42,4,0.03,0
471,TE,11399,"Griffin, Ryan",HOU,CIN,0,0,0,0,0,0,0,0,0,0,0
472,WR,11406,"Butler, Brice",DAL,TBB,0,0,0,0,0,0,0,0,0,0,0
473,WR,11413,"Dorsey, Kevin",NEP,NYG,0,0,0,0,0,0,0,0,0,0,0
474,TE,11254,"Williams, Michael",NEP,NYG,0,0,0,0,0,0,0,0.24,2,0,0
475,TE,11251,"Escobar, Gavin",DAL,TBB,0,0,0,0,0,0,0,0.38,3,0.11,0
476,WR,11236,"Blake, Emory",STL,CHI,0,0,0,0,0,0,0,0,0,0,0
477,WR,11224,"Boyce, Josh",NEP,NYG,0,0,0,0,0,0,0,0,0,0,0
478,WR,11237,"Shepard, Russell",TBB,DAL,0,0,0,0,0,0,0,0.18,2,0.02,0
479,WR,11239,"Goodwin, Marquise",BUF,NYJ,0,0,0,0,0,0,0,0,0,0,0
480,TE,11245,"Stoneburner, Jake",MIA,PHI,0,0,0,0,0,0,0,0.19,2,0.08,0
481,WR,11749,"Harris, Marcus",NYG,NEP,0,0,0,0,0,0,0,0,0,0,0
